Year,Brand,Model,driven ,owners,fuel,prices,car type
2017,Hyundai,Verna,32157,1,PETROL,901000,Sedan
2015,Honda,City,71105,1,PETROL,679000,Sedan
2021,VOLKSWAGEN,VENTO,8727,1,PETROL,1043000,Sedan
2019,Hyundai,Verna,34125,1,PETROL,990000,Sedan
2020,Honda,City,9502,1,PETROL,1389000,Sedan
2018,TOYOTA,YARIS,11160,2,PETROL,915000,Sedan
2018,TOYOTA,YARIS,21284,1,PETROL,960000,Sedan
2021,SKODA,RAPID,25579,1,PETROL,1070000,Sedan
2018,Maruti,Ciaz,16093,1,PETROL,909000,Sedan
2018,TOYOTA,YARIS,36895,1,PETROL,967000,Sedan
2018,Toyota,YARIS,49322,1,PETROL,931000,Sedan
2021,Honda,City,27621,1,PETROL,1473000,Sedan
2018,TOYOTA,YARIS,79380,1,PETROL,898000,Sedan
2021,Toyota,YARIS,16841,1,PETROL,1078000,Sedan
2016,Maruti,Ciaz,66862,1,PETROL,536000,Sedan
2017,Volkswagen,AMEO,22852,1,PETROL,495000,Sedan
2016,Honda,City,84296,2,CNG,741000,Sedan
2012,Volkswagen,Jetta,95192,1,DIESEL,479000,Sedan
2018,Maruti,Dzire,52274,1,DIESEL,696000,Sedan
2016,Honda,City,61306,2,PETROL,589000,Sedan
2014,Toyota,Corolla,57094,1,PETROL,626000,Sedan
2016,Volkswagen,Ameo,93964,1,PETROL,423000,Sedan
2019,Tata,TIGOR,59364,1,DIESEL,630000,Sedan
2015,VOLKSWAGEN,VENTO,69461,1,PETROL,577000,Sedan
2013,Maruti,SWIFT,46298,1,PETROL,404000,Sedan
2014,Honda,City,37717,1,PETROL,541000,Sedan
2018,Maruti,Dzire,50896,2,PETROL,648000,Sedan
2016,Honda,City,38128,1,PETROL,704000,Sedan
2017,HONDA,CITY,69850,1,PETROL,776000,Sedan
2017,Honda,City,44017,1,PETROL,896000,Sedan
2014,Honda,City,81630,2,DIESEL,580000,Sedan
2017,Volkswagen,Vento,42535,1,PETROL,698000,Sedan
2013,Maruti,SWIFT,68940,1,PETROL,412000,Sedan
2015,Maruti,SWIFT,56086,1,PETROL,476000,Sedan
2018,Honda,Amaze,29370,1,PETROL,530000,Sedan
2011,Hyundai,i10,29637,1,PETROL,195000,Hatchback
2012,Hyundai,i10,17941,1,PETROL,284000,Hatchback
2011,Maruti,Wagon,94792,2,PETROL,199000,Hatchback
2012,Hyundai,i10,35774,1,PETROL,246000,Hatchback
2013,Hyundai,i10,42264,1,PETROL,299000,Hatchback
2017,Renault,Kwid,41395,1,PETROL,301000,Hatchback
2017,Maruti,Alto,14989,1,PETROL,275000,Hatchback
2016,Maruti,WAGON,27511,1,PETROL,358000,Hatchback
2015,Volkswagen,Polo,79992,1,DIESEL,474000,Hatchback
2011,Hyundai,i20,68834,2,PETROL,236000,Hatchback
2017,Maruti,Baleno,56824,1,PETROL,622000,Hatchback
2018,Maruti,Wagon,44296,2,CNG,459000,Hatchback
2017,Maruti,Baleno,61319,1,PETROL,622000,Hatchback
2019,Tata,Tiago,19735,1,CNG,507000,Hatchback
2014,Hyundai,Grand,22008,1,CNG,319000,Hatchback
2019,Ford,FREESTYLE,66084,1,DIESEL,655000,Hatchback
2021,Tata,Tiago,5130,1,PETROL,667000,Hatchback
2017,Maruti,IGNIS,50594,1,PETROL,459000,Hatchback
2018,Maruti,Wagon,30769,1,CNG,432000,Hatchback
2016,Hyundai,i20,61631,2,PETROL,497000,Hatchback
2016,Renault,KWID,22233,1,PETROL,307000,Hatchback
2012,Maruti,WAGON,54674,1,CNG,290000,Hatchback
2017,Honda,Jazz,35714,1,PETROL,598000,Hatchback
2019,Hyundai,Grand,37541,1,CNG,522000,Hatchback
2017,Maruti,Swift,48330,1,PETROL,466000,Hatchback
2018,Maruti,Swift,39923,1,PETROL,619000,Hatchback
2010,Hyundai,i20,41580,2,PETROL,251000,Hatchback
2015,Maruti,CELERIO,27823,1,PETROL,405000,Hatchback
2017,Maruti,Swift,57389,2,CNG,510000,Hatchback
2013,Maruti,Wagon,95381,1,CNG,285000,Hatchback
2016,HONDA,JAZZ,55313,1,PETROL,497000,Hatchback
2017,Maruti,WAGON,86977,1,CNG,371000,Hatchback
2019,Maruti,New,28429,1,CNG,518000,Hatchback
2016,HYUNDAI,ELITE,48501,1,PETROL,536000,Hatchback
2022,Tata,Tiago,15119,1,CNG,733000,Hatchback
2014,Datsun,Go,18499,1,PETROL,255000,Hatchback
2013,Hyundai,Grand,47327,1,PETROL,361000,Hatchback
2020,Renault,Kwid,5188,2,PETROL,513000,Hatchback
2015,Hyundai,i20,71609,1,PETROL,514000,Hatchback
2017,Hyundai,i20,61047,2,PETROL,619000,Hatchback
2017,Maruti,Swift,14486,1,PETROL,511000,Hatchback
2018,NISSAN,MICRA,35335,1,PETROL,506000,Hatchback
2016,Hyundai,Grand,15485,1,PETROL,451000,Hatchback
2017,Maruti,Celerio,17472,1,PETROL,473000,Hatchback
2013,Hyundai,Grand,67389,1,PETROL,367000,Hatchback
2014,Hyundai,Elite,63788,1,PETROL,497000,Hatchback
2015,HYUNDAI,GRAND,21321,1,PETROL,467600,Hatchback
2015,Hyundai,ELITE,49358,2,PETROL,510000,Hatchback
2020,Renault,Kwid,5382,2,PETROL,481000,Hatchback
2016,Maruti,Baleno,72160,1,PETROL,530000,Hatchback
2013,Maruti,WAGON,50428,1,CNG,304000,Hatchback
2019,Maruti,Swift,13184,1,PETROL,769000,Hatchback
2021,Maruti,New,3979,2,PETROL,570000,Hatchback
2016,Maruti,Alto,62328,2,PETROL,258000,Hatchback
2011,Honda,Jazz,77512,2,PETROL,270000,Hatchback
2021,Maruti,S,15286,2,CNG,507000,Hatchback
2016,Hyundai,Grand,19168,1,PETROL,544000,Hatchback
2012,Maruti,Wagon,52633,1,PETROL,265000,Hatchback
2015,Maruti,Swift,71706,2,PETROL,384000,Hatchback
2016,Hyundai,Grand,31300,1,PETROL,518000,Hatchback
2016,Hyundai,Grand,60771,2,PETROL,416000,Hatchback
2016,Hyundai,Elite,81188,2,PETROL,530000,Hatchback
2020,Hyundai,NEW,37396,1,CNG,538000,Hatchback
2014,Hyundai,Elite,59352,1,PETROL,451000,Hatchback
2017,HYUNDAI,GRAND,83663,1,PETROL,516000,Hatchback
2019,Maruti,ALTO,14829,1,PETROL,435000,Hatchback
2018,Maruti,IGNIS,84669,2,PETROL,420000,Hatchback
2014,HYUNDAI,ELITE,65307,1,PETROL,459000,Hatchback
2018,HYUNDAI,EON,30769,1,PETROL,359000,Hatchback
2020,Maruti,S,19126,1,CNG,527000,Hatchback
2018,Hyundai,Grand,40757,1,DIESEL,584000,Hatchback
2019,Hyundai,Elite,38136,1,PETROL,678000,Hatchback
2018,HYUNDAI,ELITE,60999,2,DIESEL,745000,Hatchback
2018,Maruti,Baleno,60684,1,PETROL,642000,Hatchback
2017,HYUNDAI,GRAND,63043,1,PETROL,477000,Hatchback
2016,Hyundai,Elite,23224,1,PETROL,543000,Hatchback
2017,HONDA,BRIO,44735,1,PETROL,376000,Hatchback
2015,Hyundai,i20,95852,2,PETROL,553000,Hatchback
2019,Maruti,Alto,20551,1,PETROL,350000,Hatchback
2015,Maruti,Baleno,44510,2,PETROL,545000,Hatchback
2012,HONDA,BRIO,36901,2,PETROL,292000,Hatchback
2017,Hyundai,Grand,25293,1,PETROL,489000,Hatchback
2019,HYUNDAI,NEW,21967,1,PETROL,502000,Hatchback
2018,Maruti,Wagon,69967,1,CNG,433000,Hatchback
2015,Maruti,Wagon,79753,1,CNG,375000,Hatchback
2011,Hyundai,i20,80496,1,PETROL,319000,Hatchback
2016,Maruti,Celerio,88633,1,PETROL,405000,Hatchback
2020,Tata,ALTROZ,24308,1,PETROL,731000,Hatchback
2020,Maruti,New,13233,1,PETROL,535000,Hatchback
2018,Maruti,IGNIS,5201,2,PETROL,459000,Hatchback
2018,Maruti,Baleno,26769,1,PETROL,676000,Hatchback
2014,Maruti,Wagon,78518,1,CNG,340000,Hatchback
2015,Hyundai,Elite,78240,1,PETROL,540000,Hatchback
2018,HYUNDAI,NEW,41462,2,PETROL,437000,Hatchback
2013,Maruti,Wagon,69948,1,CNG,321000,Hatchback
2018,Datsun,Redi,11404,1,PETROL,309000,Hatchback
2018,Hyundai,NEW,16876,1,PETROL,514000,Hatchback
2015,Hyundai,Eon,81994,1,PETROL,282000,Hatchback
2013,Maruti,SWIFT,69622,1,PETROL,371000,Hatchback
2019,Hyundai,NEW,94051,1,CNG,457000,Hatchback
2020,Tata,ALTROZ,27000,1,PETROL,737000,Hatchback
2017,Maruti,Wagon,91203,2,CNG,365000,Hatchback
2021,Maruti,S,39855,1,CNG,533000,Hatchback
2017,Hyundai,Elite,31310,1,PETROL,589000,Hatchback
2021,Maruti,Baleno,12050,1,PETROL,833000,Hatchback
2013,Hyundai,i20,81416,2,PETROL,352000,Hatchback
2012,HONDA,BRIO,39737,1,PETROL,313000,Hatchback
2020,TATA,ALTROZ,20618,1,PETROL,704000,Hatchback
2015,Hyundai,Eon,19508,2,PETROL,298000,Hatchback
2021,Renault,Kwid,11699,1,PETROL,547000,Hatchback
2017,Hyundai,Grand,17332,2,PETROL,452000,Hatchback
2018,Hyundai,GRAND,71156,1,DIESEL,510000,Hatchback
2016,Maruti,Baleno,71469,1,PETROL,595000,Hatchback
2014,Maruti,WAGON,79030,1,CNG,335000,Hatchback
2019,Hyundai,NEW,13424,1,PETROL,478000,Hatchback
2014,Maruti,Swift,31946,1,PETROL,432000,Hatchback
2013,Maruti,Swift,52161,2,PETROL,379000,Hatchback
2021,Renault,Kwid,7890,1,PETROL,521000,Hatchback
2016,Hyundai,Elite,20782,2,PETROL,531000,Hatchback
2019,Hyundai,Grand,43756,1,PETROL,562000,Hatchback
2014,Hyundai,I20,37645,1,PETROL,467000,Hatchback
2017,HYUNDAI,ELITE,61844,2,PETROL,624000,Hatchback
2021,Maruti,New,60137,1,CNG,615000,Hatchback
2021,Hyundai,NEW,4402,1,PETROL,995000,Hatchback
2018,Maruti,Celerio,28372,1,PETROL,505000,Hatchback
2021,Hyundai,GRAND,10648,1,PETROL,756000,Hatchback
2013,HYUNDAI,I10,74181,1,PETROL,314000,Hatchback
2016,Hyundai,Grand,51878,1,CNG,510000,Hatchback
2021,Maruti,S,24279,1,CNG,506000,Hatchback
2012,Hyundai,i20,72998,1,PETROL,356000,Hatchback
2017,Hyundai,Eon,25667,2,PETROL,394000,Hatchback
2021,Maruti,Alto,6817,1,PETROL,389000,Hatchback
2017,Maruti,Alto,49520,2,PETROL,291000,Hatchback
2018,Maruti,Wagon,69638,1,CNG,429000,Hatchback
2019,Maruti,IGNIS,41636,1,PETROL,490000,Hatchback
2014,Hyundai,i20,13616,1,PETROL,488000,Hatchback
2017,Maruti,IGNIS,42801,2,DIESEL,531000,Hatchback
2018,Hyundai,Elite,27933,1,PETROL,676000,Hatchback
2019,Hyundai,NEW,4157,1,PETROL,500000,Hatchback
2015,HYUNDAI,ELITE,29491,1,PETROL,540000,Hatchback
2018,Maruti,CELERIO,25683,1,CNG,495000,Hatchback
2015,Hyundai,Elite,47753,2,PETROL,483000,Hatchback
2016,Maruti,Alto,62062,1,PETROL,271000,Hatchback
2013,Hyundai,i20,23615,2,PETROL,382000,Hatchback
2012,Maruti,Swift,63682,1,PETROL,362000,Hatchback
2016,Hyundai,Grand,61072,1,PETROL,498000,Hatchback
2019,Maruti,New,12413,1,PETROL,581000,Hatchback
2013,Maruti,RITZ,28501,1,PETROL,359000,Hatchback
2014,Maruti,Wagon,48331,1,CNG,337000,Hatchback
2017,Maruti,WAGON,62419,1,CNG,423000,Hatchback
2015,Hyundai,Elite,39132,1,PETROL,510000,Hatchback
2017,Maruti,WAGON,57773,1,CNG,412000,Hatchback
2018,Maruti,Celerio,30488,1,CNG,492000,Hatchback
2015,Maruti,Alto,70614,1,PETROL,262000,Hatchback
2018,Maruti,Wagon,40437,1,CNG,459000,Hatchback
2020,Maruti,S,41047,1,CNG,527000,Hatchback
2018,Maruti,Baleno,23931,2,PETROL,587000,Hatchback
2020,Toyota,Glanza,35483,1,PETROL,845000,Hatchback
2013,HYUNDAI,I20,64287,2,PETROL,374000,Hatchback
2014,Hyundai,ELITE,61298,1,PETROL,488000,Hatchback
2020,Renault,Kwid,8356,1,PETROL,526000,Hatchback
2015,Maruti,Wagon,81322,2,CNG,341000,Hatchback
2021,Tata,TIAGO,10747,1,PETROL,622000,Hatchback
2019,Maruti,Celerio,52266,1,CNG,524000,Hatchback
2013,Maruti,Wagon,98811,1,CNG,315000,Hatchback
2017,Hyundai,Eon,14654,1,PETROL,374000,Hatchback
2016,Maruti,Wagon,60569,2,CNG,384000,Hatchback
2019,Maruti,Celerio,38673,1,CNG,523000,Hatchback
2021,Tata,ALTROZ,26375,1,DIESEL,899000,Hatchback
2017,Hyundai,Grand,39616,1,PETROL,471000,Hatchback
2018,Maruti,Wagon,68209,1,CNG,431000,Hatchback
2016,Hyundai,Grand,22111,1,PETROL,449000,Hatchback
2020,Maruti,S,44001,1,CNG,519000,Hatchback
2019,Maruti,Alto,76615,1,PETROL,324000,Hatchback
2011,Maruti,WAGON,72435,1,CNG,271000,Hatchback
2013,Maruti,WAGON,30906,1,PETROL,320000,Hatchback
2021,Maruti,Alto,7147,1,PETROL,366000,Hatchback
2021,Maruti,New,32678,2,CNG,636000,Hatchback
2020,Maruti,CELERIO,50295,1,CNG,560000,Hatchback
2021,Maruti,ALTO,28156,1,CNG,452000,Hatchback
2021,Maruti,Alto,16511,1,CNG,451000,Hatchback
2021,Maruti,ALTO,14583,1,PETROL,386000,Hatchback
2018,Maruti,Celerio,40540,1,CNG,496000,Hatchback
2012,Maruti,Wagon,54015,2,CNG,280000,Hatchback
2018,Maruti,Wagon,35496,1,CNG,473000,Hatchback
2018,Maruti,IGNIS,56975,1,PETROL,581000,Hatchback
2022,Maruti,New,8309,1,CNG,668000,Hatchback
2014,Maruti,Wagon,85644,1,CNG,325000,Hatchback
2019,Maruti,New,82275,1,CNG,544000,Hatchback
2017,Maruti,Baleno,50671,1,PETROL,580000,Hatchback
2019,Maruti,IGNIS,32341,1,PETROL,490000,Hatchback
2018,Hyundai,NEW,46957,1,CNG,517000,Hatchback
2013,Maruti,WAGON,72324,3RD OWNER,CNG,281000,Hatchback
2017,Maruti,Celerio,50752,2,PETROL,437000,Hatchback
2020,HYUNDAI,ELITE,32667,1,PETROL,733000,Hatchback
2015,Maruti,Wagon,74759,1,PETROL,336000,Hatchback
2013,Maruti,Wagon,77907,1,PETROL,297000,Hatchback
2018,Maruti,Celerio,52636,1,CNG,473000,Hatchback
2019,Maruti,S,15260,1,PETROL,447000,Hatchback
2018,Maruti,Wagon,37824,2,CNG,441000,Hatchback
2019,Maruti,S,15732,1,PETROL,418000,Hatchback
2015,Maruti,Swift,57054,1,PETROL,472000,Hatchback
2021,Maruti,S,32020,1,CNG,513000,Hatchback
2014,Maruti,Wagon,74921,1,CNG,325000,Hatchback
2018,Hyundai,Grand,49151,1,PETROL,499000,Hatchback
2019,Maruti,Alto,57850,1,CNG,436000,Hatchback
2018,Maruti,Baleno,22400,1,PETROL,617000,Hatchback
2019,Hyundai,Grand,14653,1,PETROL,516000,Hatchback
2018,Maruti,Wagon,82023,1,CNG,417000,Hatchback
2021,Hyundai,NEW,21577,1,CNG,595000,Hatchback
2014,Maruti,Swift,28072,1,PETROL,424000,Hatchback
2018,Maruti,Celerio,67683,1,CNG,478000,Hatchback
2017,Maruti,IGNIS,31132,1,PETROL,459000,Hatchback
2016,Hyundai,Grand,12245,1,PETROL,524000,Hatchback
2020,Maruti,S,53587,2,CNG,487000,Hatchback
2021,Maruti,New,14184,2,CNG,629000,Hatchback
2018,Maruti,Celerio,26178,1,PETROL,494000,Hatchback
2022,Maruti,New,2946,1,CNG,732000,Hatchback
2021,Hyundai,NEW,3098,1,PETROL,572000,Hatchback
2018,Maruti,WAGON,56733,1,CNG,448000,Hatchback
2021,Maruti,S,42535,1,CNG,549000,Hatchback
2019,Hyundai,Grand,18526,1,PETROL,579000,Hatchback
2018,Maruti,Alto,66297,1,PETROL,321000,Hatchback
2019,Renault,Kwid,14131,2,PETROL,467000,Hatchback
2019,Maruti,BALENO,43396,1,PETROL,769000,Hatchback
2019,Maruti,ALTO,8401,1,PETROL,351000,Hatchback
2019,Maruti,S,48579,1,PETROL,413000,Hatchback
2021,Maruti,New,10663,1,PETROL,658000,Hatchback
2014,Maruti,Swift,74459,1,PETROL,417000,Hatchback
2022,Maruti,Celerio,3949,1,PETROL,613000,Hatchback
2020,Maruti,Alto,3629,1,PETROL,408000,Hatchback
2018,Maruti,ALTO,17784,1,PETROL,350000,Hatchback
2017,Maruti,Baleno,57499,1,PETROL,653000,Hatchback
2016,Maruti,Baleno,19980,2,PETROL,654000,Hatchback
2012,Honda,Brio,96760,1,PETROL,318000,Hatchback
2019,Maruti,Baleno,30089,1,PETROL,800000,Hatchback
2016,Maruti,Baleno,23862,1,PETROL,607000,Hatchback
2019,Maruti,Celerio,38529,2,CNG,496000,Hatchback
2022,Maruti,CELERIO,9649,1,PETROL,713000,Hatchback
2020,Maruti,S,79019,1,CNG,461000,Hatchback
2021,Tata,ALTROZ,43444,1,DIESEL,991000,Hatchback
2010,Maruti,Swift,37982,1,PETROL,233000,Hatchback
2013,Volkswagen,Polo,61061,1,PETROL,355000,Hatchback
2010,Maruti,Wagon,46893,1,PETROL,187000,Hatchback
2014,Toyota,Etios,63871,2,CNG,322000,Hatchback
2011,Hyundai,i10,50016,1,PETROL,242000,Hatchback
2013,Hyundai,I20,48177,2,PETROL,318000,Hatchback
2019,Maruti,S,14367,1,PETROL,397000,Hatchback
2012,Maruti,SWIFT,55416,1,DIESEL,394000,Hatchback
2013,Maruti,Swift,37757,1,PETROL,352000,Hatchback
2018,Maruti,Celerio,20613,2,PETROL,393000,Hatchback
2021,Renault,Kwid,19604,1,PETROL,503000,Hatchback
2014,Maruti,Alto,55660,2,CNG,276000,Hatchback
2015,Maruti,Swift,64751,1,DIESEL,503000,Hatchback
2016,Maruti,Wagon,44891,1,PETROL,347000,Hatchback
2017,Hyundai,Elite,18369,1,PETROL,564000,Hatchback
2018,Hyundai,Elite,18990,1,CNG,642000,Hatchback
2017,Maruti,Wagon,62162,1,CNG,397000,Hatchback
2018,Maruti,CELERIO,81593,1,CNG,442000,Hatchback
2016,Maruti,Baleno,21146,1,PETROL,569000,Hatchback
2017,Maruti,Alto,73377,1,CNG,366000,Hatchback
2019,Maruti,New,77171,1,CNG,518000,Hatchback
2016,Maruti,Alto,16323,1,PETROL,285000,Hatchback
2015,Maruti,BALENO,66825,2,DIESEL,526000,Hatchback
